高雄Helios 44M八羽怪 nikon 24 non-ai,1500,ptt,aaabbcc,2017-11-30 10:25:24,http://www.ptt.cc/bbs/photo-buy/M.1512008727.A.3E8.html
Mamiya RZ67,11000,ptt,AndyWUcn,2017-11-30 12:59:57,http://www.ptt.cc/bbs/photo-buy/M.1512018000.A.D39.html
Rollei HFT 40/2.8 LTM含LM轉接環,0,ptt,tanyan,2017-11-30 13:30:26,http://www.ptt.cc/bbs/photo-buy/M.1512019829.A.ADD.html
Nikon 鏡頭 24mm 28mm 50mm 55mm Micro 105mm 2X,5500,ptt,Can19860111,2017-11-30 23:33:42,http://www.ptt.cc/bbs/photo-buy/M.1512056024.A.EA0.html
Konica iiia,3000,ptt,pakapoo,2017-12-01 15:01:14,http://www.ptt.cc/bbs/photo-buy/M.1512111677.A.B36.html
L39 兩機兩鏡 可換 ST801,1000,ptt,LWalter,2017-12-01 16:12:17,http://www.ptt.cc/bbs/photo-buy/M.1512115941.A.C3F.html
contax g28,7000,ptt,dodof,2017-12-01 18:12:52,http://www.ptt.cc/bbs/photo-buy/M.1512123175.A.716.html
Carl Zeiss Planar T* 50/1.4 MMJ C/Y,8500,ptt,ppcayapple,2017-12-01 18:49:58,http://www.ptt.cc/bbs/photo-buy/M.1512125402.A.557.html
富士拍立得mini90,3700,ptt,barkasula,2017-12-02 08:02:36,http://www.ptt.cc/bbs/photo-buy/M.1512172959.A.C05.html
Sony 原廠相機電池 NP FW50,600,ptt,JYChen,2017-12-02 10:00:14,http://www.ptt.cc/bbs/photo-buy/M.1512180017.A.B66.html
Nikon 55mm/f1.2  35mm/f1.4,7500,ptt,steven4032,2017-12-02 20:16:01,http://www.ptt.cc/bbs/photo-buy/M.1512216965.A.DAA.html
Polaroid Spectra Pro,1500,ptt,aayuan,2017-12-03 17:12:37,http://www.ptt.cc/bbs/photo-buy/M.1512292360.A.DD7.html
Leica IIIa,8000,ptt,herbert0716,2017-12-04 00:16:10,http://www.ptt.cc/bbs/photo-buy/M.1512317775.A.909.html
