土城 OLYMPUS PEN EES2 & EE3,1600,ptt,PENTAXCAT,2018-07-06 11:44:16,http://www.ptt.cc/bbs/photo-buy/M.1530848658.A.3C1.html
KODAK FV II/32 保護鏡 (32mm),400,ptt,pin731104,2018-07-06 11:59:23,http://www.ptt.cc/bbs/photo-buy/M.1530849567.A.C42.html
土城 NIKON ZOOM300 & CANON AUTOBOY A,300,ptt,PENTAXCAT,2018-07-07 01:56:59,http://www.ptt.cc/bbs/photo-buy/M.1530899821.A.0EE.html
土城 富士 SILVI F2.8,5000,ptt,PENTAXCAT,2018-07-07 18:06:13,http://www.ptt.cc/bbs/photo-buy/M.1530957975.A.7D4.html
NIKON FM2 黑機,0,ptt,lee28119,2018-07-07 19:39:24,http://www.ptt.cc/bbs/photo-buy/M.1530963567.A.7BD.html
PENTAX Super Takumar 200MMf4 M42,200,ptt,tzuchao0719,2018-07-08 12:40:22,http://www.ptt.cc/bbs/photo-buy/M.1531024824.A.A42.html
Tamron SP 500mm f8 Nikon口,6000,ptt,tzuchao0719,2018-07-08 12:56:24,http://www.ptt.cc/bbs/photo-buy/M.1531025786.A.C34.html
Helios 44-3 58 f2八羽怪 稀有3版,2200,ptt,tzuchao0719,2018-07-08 13:16:32,http://www.ptt.cc/bbs/photo-buy/M.1531026995.A.2F6.html
土城 Minolta α-Sweet 一代&二代,600,ptt,PENTAXCAT,2018-07-08 14:46:24,http://www.ptt.cc/bbs/photo-buy/M.1531032386.A.8C4.html
土城 CANON GIII QL19,2700,ptt,PENTAXCAT,2018-07-08 14:56:36,http://www.ptt.cc/bbs/photo-buy/M.1531032998.A.A63.html
土城 過片把手NIKON MD-12 & MINOLTA MD1,800,ptt,PENTAXCAT,2018-07-08 16:10:30,http://www.ptt.cc/bbs/photo-buy/M.1531037432.A.737.html
"過期120底片 (Portra, Ektar)",400,ptt,weem,2018-07-08 19:36:41,http://www.ptt.cc/bbs/photo-buy/M.1531049804.A.F87.html
Nikon 鏡頭 24mm 28mm 50mm 55mm Micro 105mm 2X,5500,ptt,Can19860111,2018-07-09 14:31:05,http://www.ptt.cc/bbs/photo-buy/M.1531117867.A.D90.html
土城 OLYMPUS AF-1 & AF-10,300,ptt,PENTAXCAT,2018-07-09 14:47:55,http://www.ptt.cc/bbs/photo-buy/M.1531118878.A.294.html
