Leica IIIa,12000,ptt,herbert0716,2017-08-10 15:59:34,http://www.ptt.cc/bbs/photo-buy/M.1502351979.A.69F.html
Pentax 645FA 80-160,15000,ptt,herbert0716,2017-08-10 17:20:54,http://www.ptt.cc/bbs/photo-buy/M.1502356858.A.A4C.html
nikon 20-35 2.8D鑽石廣角 盒裝,25300,ptt,planar0202,2017-08-11 09:14:36,http://www.ptt.cc/bbs/photo-buy/M.1502414078.A.562.html
Nikon AI Nikkor 50mm F1.4,6500,ptt,question123,2017-08-11 15:07:45,http://www.ptt.cc/bbs/photo-buy/M.1502435267.A.73F.html
SIGMA 70-300 for nikon,2000,ptt,a1234656,2017-08-11 21:31:30,http://www.ptt.cc/bbs/photo-buy/M.1502458295.A.A5D.html
GOSSEN DIGISIX、35mm觀景器,4500,ptt,Champignons,2017-08-12 01:45:29,http://www.ptt.cc/bbs/photo-buy/M.1502473532.A.910.html
Rotatrim M36 36寸英國羅德裁刀,20000,ptt,janjan3,2017-08-12 14:09:54,http://www.ptt.cc/bbs/photo-buy/M.1502518196.A.2CA.html
台北 林口 Yashica T3 Super D 2.8/35,3000,ptt,CaRaMac,2017-08-13 10:54:26,http://www.ptt.cc/bbs/photo-buy/M.1502592868.A.FBB.html
120底片 FUJIFILM PRO 400H,400,ptt,ptcold,2017-08-13 16:14:44,http://www.ptt.cc/bbs/photo-buy/M.1502612087.A.A8B.html
Leica elmarit-M 90mm f/2.8,7500,ptt,herbert0716,2017-08-15 13:26:55,http://www.ptt.cc/bbs/photo-buy/M.1502774819.A.383.html
Olympus pen EED 半格,500,ptt,fish0726,2017-08-15 13:39:33,http://www.ptt.cc/bbs/photo-buy/M.1502775575.A.E98.html
NIKON F100 35G 85D,100,ptt,wizard0927,2017-08-15 14:23:24,http://www.ptt.cc/bbs/photo-buy/M.1502778206.A.595.html
nikon f2漂亮黑機 附原廠皮套,6000,ptt,perfectJ,2017-08-15 14:50:44,http://www.ptt.cc/bbs/photo-buy/M.1502779847.A.900.html
minolta dynax 9 (a9)機皇,12000,ptt,perfectJ,2017-08-16 02:36:36,http://www.ptt.cc/bbs/photo-buy/M.1502822199.A.32E.html
KONICA T3,4200,ptt,KURAKIZERO,2017-08-16 11:13:38,http://www.ptt.cc/bbs/photo-buy/M.1502853221.A.A42.html
Minolta M鏡2顆、福輪達 微距轉接,5000,ptt,bill821108,2017-08-16 16:29:47,http://www.ptt.cc/bbs/photo-buy/M.1502872190.A.511.html
