plustek st640 底掃,1800,ptt,phanck,2017-10-06 16:54:39,http://www.ptt.cc/bbs/photo-buy/M.1507280082.A.831.html
Mamiya6+50mm+75mm+150mm一機,55000,ptt,benarch1000,2017-10-06 22:44:58,http://www.ptt.cc/bbs/photo-buy/M.1507301100.A.5FF.html
Pentacon M42 50/1.8 auto + Canon轉接環,1700,ptt,dearflight,2017-10-07 11:12:37,http://www.ptt.cc/bbs/photo-buy/M.1507345959.A.89A.html
AGFA ISOLETTE V 蛇腹相機,3500,ptt,RedChu,2017-10-08 09:26:28,http://www.ptt.cc/bbs/photo-buy/M.1507425990.A.6BA.html
EOS 55,500,ptt,Azucat,2017-10-08 13:51:38,http://www.ptt.cc/bbs/photo-buy/M.1507441902.A.B98.html
"CV20,CZ50.7,MIR-10A",7000,ptt,jeffrey2002,2017-10-08 16:39:21,http://www.ptt.cc/bbs/photo-buy/M.1507451964.A.B9A.html
"Contax 645 45-90,210, 1.4倍鏡",29900,ptt,mis616,2017-10-08 17:07:07,http://www.ptt.cc/bbs/photo-buy/M.1507453629.A.D85.html
Contax TVS一代,6500,ptt,gtmax0414,2017-10-09 01:16:36,http://www.ptt.cc/bbs/photo-buy/M.1507482999.A.C7F.html
富士相印機sp1,3000,ptt,gcjo4,2017-10-09 03:30:21,http://www.ptt.cc/bbs/photo-buy/M.1507491024.A.0E5.html
Horizon 202 搖頭機+手把+包包,5500,ptt,DJZwei,2017-10-09 22:54:54,http://www.ptt.cc/bbs/photo-buy/M.1507560896.A.0BC.html
