Carl Zeiss Jena 35/2.4(M42),7500,ptt,hey1590,2018-01-23 00:35:00,http://www.ptt.cc/bbs/photo-buy/M.1516638903.A.7AD.html
CONTAX C/Y 25mm F2.8 AEG,12500,ptt,jcustom,2018-01-23 00:51:14,http://www.ptt.cc/bbs/photo-buy/M.1516639877.A.106.html
contax 180 /2.8 近全新,13000,ptt,CSC888,2018-01-23 11:11:29,http://www.ptt.cc/bbs/photo-buy/M.1516677091.A.620.html
過期120及135底片,100,ptt,a33278596,2018-01-23 20:17:48,http://www.ptt.cc/bbs/photo-buy/M.1516709870.A.133.html
303S 閃燈 會閃,200,ptt,DJZwei,2018-01-23 21:42:19,http://www.ptt.cc/bbs/photo-buy/M.1516714941.A.8E5.html
Lomo Instant Square 高階自動方形拍立得,5800,ptt,blablack,2018-01-24 03:51:18,http://www.ptt.cc/bbs/photo-buy/M.1516737080.A.E4A.html
Pentax SP/Sigma28mm/takumar135mm,2000,ptt,ghjk1234567,2018-01-24 08:10:27,http://www.ptt.cc/bbs/photo-buy/M.1516752629.A.BC3.html
Mamiya EE Merit,1300,ptt,a33278596,2018-01-24 20:14:37,http://www.ptt.cc/bbs/photo-buy/M.1516796080.A.CE7.html
Nikon macro 55mm f3.5 ais,3200,ptt,dodof,2018-01-25 15:06:49,http://www.ptt.cc/bbs/photo-buy/M.1516864011.A.5AF.html
Sony rx-100 mark 1,10000,ptt,neilhuang,2018-01-25 19:16:01,http://www.ptt.cc/bbs/photo-buy/M.1516878964.A.77A.html
