tokina rmc 500mm 小巧反射鏡,500,ptt,sohaha,2017-08-20 04:38:02,http://www.ptt.cc/bbs/photo-buy/M.1503175086.A.012.html
全國fm2+50 1.4ais,6200,ptt,teleoldmom,2017-08-20 12:28:52,http://www.ptt.cc/bbs/photo-buy/M.1503203334.A.300.html
Nikon 20-35 F2.8D 鑽石廣角 盒裝,25300,ptt,planar0202,2017-08-20 13:06:44,http://www.ptt.cc/bbs/photo-buy/M.1503205606.A.7A7.html
ais35mm f1.4鏡頭,14800,ptt,bosi0729,2017-08-21 10:44:09,http://www.ptt.cc/bbs/photo-buy/M.1503283452.A.058.html
Canon AE-1P + FD 50mm f1.4,4800,ptt,qqqasd600,2017-08-21 20:22:15,http://www.ptt.cc/bbs/photo-buy/M.1503318137.A.B33.html
Nikon F3Hp黑機FM3A銀機與鏡頭,7000,ptt,sam210164,2017-08-21 20:51:32,http://www.ptt.cc/bbs/photo-buy/M.1503319895.A.851.html
Leica Summicron 35mm ASPH 銀,62000,ptt,ningmedia,2017-08-23 14:13:54,http://www.ptt.cc/bbs/photo-buy/M.1503468837.A.99A.html
67mm 多層膜保護鏡 marumi,700,ptt,weilun074,2017-08-24 08:44:38,http://www.ptt.cc/bbs/photo-buy/M.1503535480.A.C57.html
土城 OLYMPUS XA & DEMI 17,3500,ptt,PENTAXCAT,2017-08-24 13:34:17,http://www.ptt.cc/bbs/photo-buy/M.1503552860.A.944.html
新北 Leica M Summicron 50 DR,22500,ptt,benny0725,2017-08-24 23:11:36,http://www.ptt.cc/bbs/photo-buy/M.1503587499.A.DD0.html
Nikon F801/F65/F50/2880G/70210,1500,ptt,JSFS,2017-08-25 00:28:41,http://www.ptt.cc/bbs/photo-buy/M.1503592125.A.243.html
