Pentax *ist/FA 2880,1000,ptt,lightfox,2018-01-17 13:40:49,http://www.ptt.cc/bbs/photo-buy/M.1516167652.A.C81.html
"Nikon FA,FM2;LC-A 小人頭版",8000,ptt,rhwebNW,2018-01-17 19:44:14,http://www.ptt.cc/bbs/photo-buy/M.1516189457.A.642.html
Pentax Z20-P,800,ptt,nbmrockon,2018-01-18 14:14:45,http://www.ptt.cc/bbs/photo-buy/M.1516256091.A.CBA.html
AIS50/1.8 N8008s SB25 FM2零件機,2500,ptt,ginnietulip,2018-01-18 19:06:52,http://www.ptt.cc/bbs/photo-buy/M.1516273615.A.071.html
Contax 85/1.4 MMG,19500,ptt,tf30801,2018-01-19 10:14:34,http://www.ptt.cc/bbs/photo-buy/M.1516328080.A.629.html
Nikon 24mm f/2.8 D,5400,ptt,raiting,2018-01-19 23:50:31,http://www.ptt.cc/bbs/photo-buy/M.1516377033.A.3D1.html
Nikon F80D + 24-50mm,2000,ptt,chang912137,2018-01-20 01:21:26,http://www.ptt.cc/bbs/photo-buy/M.1516382490.A.2E2.html
Nikon F2+50mmAIS標準鏡,6000,ptt,shean1115,2018-01-20 09:29:16,http://www.ptt.cc/bbs/photo-buy/M.1516411761.A.B98.html
Olympus OM-2 + 50mm 1.8,3500,ptt,cynoodle,2018-01-20 10:30:43,http://www.ptt.cc/bbs/photo-buy/M.1516415446.A.5C9.html
富士instax mini8拍立得（粉色）,1500,ptt,b0421ya,2018-01-20 11:32:27,http://www.ptt.cc/bbs/photo-buy/M.1516419149.A.EE6.html
「全國」konica IIIA,5000,ptt,allanex,2018-01-21 13:24:14,http://www.ptt.cc/bbs/photo-buy/M.1516512260.A.AF8.html
Fujifilm 富士 instax mini90 拍立得,3300,ptt,happyqqsugar,2018-01-21 21:53:17,http://www.ptt.cc/bbs/photo-buy/M.1516542799.A.80E.html
Yashica T5 (T4 Super) 零件機,200,ptt,xxhellosexy,2018-01-22 13:43:31,http://www.ptt.cc/bbs/photo-buy/M.1516599813.A.03E.html
