NIKON SB-900,900,ptt,angenieux,2017-08-05 22:17:26,http://www.ptt.cc/bbs/photo-buy/M.1501942649.A.796.html
Nikon 鏡頭 24mm 28mm 50mm 55mm Micro 105mm 2X,5500,ptt,Can19860111,2017-08-06 19:22:55,http://www.ptt.cc/bbs/photo-buy/M.1502018577.A.F65.html
Contax 135mm F2 AEG配件完,0,ptt,snipe0901,2017-08-07 12:36:14,http://www.ptt.cc/bbs/photo-buy/M.1502080577.A.374.html
Canon G7X MarkII (MK2),16000,ptt,x810610,2017-08-07 14:41:55,http://www.ptt.cc/bbs/photo-buy/M.1502088117.A.267.html
Nikon AIS 35mm F1.4,6500,ptt,question123,2017-08-08 14:13:08,http://www.ptt.cc/bbs/photo-buy/M.1502172790.A.C92.html
Carl Zeiss Makro-Planar 50/2 ZF,18000,ptt,victoryuy,2017-08-09 08:01:00,http://www.ptt.cc/bbs/photo-buy/M.1502236871.A.7C6.html
新北 Leica M Summicron 50/2 DR,23500,ptt,benny0725,2017-08-09 18:10:54,http://www.ptt.cc/bbs/photo-buy/M.1502273456.A.6BE.html
Konica M-Hexanon 50mmf2,15000,ptt,victoryuy,2017-08-09 18:38:49,http://www.ptt.cc/bbs/photo-buy/M.1502275137.A.ADD.html
Billingham Hadly Pro白金漢包,6000,ptt,moliugam,2017-08-09 20:56:12,http://www.ptt.cc/bbs/photo-buy/M.1502283383.A.8C2.html
Nikkor 35mm/f1.4,9500,ptt,steven4032,2017-08-09 22:23:10,http://www.ptt.cc/bbs/photo-buy/M.1502288593.A.D0B.html
Canon new FD 70-210mm f4,1800,ptt,a813279,2017-08-09 23:34:37,http://www.ptt.cc/bbs/photo-buy/M.1502292880.A.204.html
