"CV20,CZ50.7,MIR-10A",7000,ptt,jeffrey2002,2017-09-21 13:20:41,http://www.ptt.cc/bbs/photo-buy/M.1505971244.A.5F2.html
olympus 35SP,2500,ptt,tmacnb1,2017-09-21 16:20:59,http://www.ptt.cc/bbs/photo-buy/M.1505982063.A.3BE.html
柯達及富士過期底片 買十送一,400,ptt,herbert0716,2017-09-21 18:58:14,http://www.ptt.cc/bbs/photo-buy/M.1505991498.A.2B8.html
Fujifilm Premium 400底片,2000,ptt,alaroom,2017-09-22 06:33:53,http://www.ptt.cc/bbs/photo-buy/M.1506033235.A.A29.html
Fujifilm Superia 200過期片,200,ptt,alaroom,2017-09-22 06:46:24,http://www.ptt.cc/bbs/photo-buy/M.1506033986.A.CB3.html
Mamiya RZ67 PROII + 110mm/2.8,10000,ptt,ttmtk1127b,2017-09-22 16:18:59,http://www.ptt.cc/bbs/photo-buy/M.1506068341.A.C33.html
零件機,1500,ptt,tmacnb1,2017-09-22 18:07:50,http://www.ptt.cc/bbs/photo-buy/M.1506074873.A.C6F.html
一些傻瓜相機和 Pentax MX,2400,ptt,a33278596,2017-09-22 22:45:27,http://www.ptt.cc/bbs/photo-buy/M.1506091529.A.22E.html
新北 Leica 50 DR,20000,ptt,benny0725,2017-09-23 00:32:39,http://www.ptt.cc/bbs/photo-buy/M.1506097962.A.892.html
Omega D-3 Pro-lab 4x5黑白放大機,15000,ptt,janjan3,2017-09-23 16:04:37,http://www.ptt.cc/bbs/photo-buy/M.1506153880.A.8A3.html
Contax G1 綠標機身 附原廠盒,5000,ptt,F22220i,2017-09-23 16:20:29,http://www.ptt.cc/bbs/photo-buy/M.1506154831.A.D89.html
contax T2,15000,ptt,andy2002515,2017-09-24 01:43:58,http://www.ptt.cc/bbs/photo-buy/M.1506188640.A.FEC.html
EOS 1V,8000,ptt,happyleg,2017-09-24 13:00:14,http://www.ptt.cc/bbs/photo-buy/M.1506229217.A.EA1.html
Nikon 28-70mm f3.5-4.5D,2500,ptt,Aenbair,2017-09-24 22:21:07,http://www.ptt.cc/bbs/photo-buy/M.1506262870.A.84E.html
