元祖fm2+50 1.8d 機身全機保養,9500,ptt,ms0299937,2018-02-17 11:54:46,http://www.ptt.cc/bbs/photo-buy/M.1518839689.A.0F6.html
台南 Olympus XA2 實用級,2200,ptt,s756529,2018-02-18 19:23:50,http://www.ptt.cc/bbs/photo-buy/M.1518953032.A.54E.html
Leica M Summilux 35mm ASPH FLE,120000,ptt,aquarjames,2018-02-19 00:12:13,http://www.ptt.cc/bbs/photo-buy/M.1518970338.A.625.html
黑白底片及自沖藥劑+相機,400,ptt,andy20637,2018-02-19 00:30:03,http://www.ptt.cc/bbs/photo-buy/M.1518971405.A.7AD.html
Voigtlander 15mm F4.5 ASPH II,10000,ptt,aquarjames,2018-02-19 09:48:40,http://www.ptt.cc/bbs/photo-buy/M.1519004924.A.489.html
Konica 現場監督28wb 三防相機,2300,ptt,wale1128,2018-02-19 19:14:29,http://www.ptt.cc/bbs/photo-buy/M.1519038873.A.5F7.html
台北 Konica Recorder 半格相機(AA-35),4500,ptt,pxxxs,2018-02-20 00:00:03,http://www.ptt.cc/bbs/photo-buy/M.1519056005.A.4B0.html
Nikon 鏡頭 24mm 28mm 50mm 55mm Micro 105mm 2X,5500,ptt,Can19860111,2018-02-20 10:53:10,http://www.ptt.cc/bbs/photo-buy/M.1519095193.A.3CC.html
Nikon FM2 初代蜂巢快門黑機+背帶,5000,ptt,MichaelKS,2018-02-20 18:56:28,http://www.ptt.cc/bbs/photo-buy/M.1519124190.A.554.html
新竹 Mamiya 645 Pro TL +80F1.9,15000,ptt,laserman,2018-02-22 11:25:43,http://www.ptt.cc/bbs/photo-buy/M.1519269946.A.58D.html
