Contax G2+ G35 合售,27000,ptt,misha37,2018-04-15 23:56:37,http://www.ptt.cc/bbs/photo-buy/M.1523807799.A.CE4.html
fm2+鏡頭,5000,ptt,ajno5,2018-04-15 23:58:25,http://www.ptt.cc/bbs/photo-buy/M.1523807908.A.385.html
Leica R8 + 60mm F2.8 Macro,30000,ptt,alan1990108,2018-04-16 11:34:08,http://www.ptt.cc/bbs/photo-buy/M.1523849650.A.B02.html
mjuII定焦 Ricoh half發條半格,3000,ptt,stillness17,2018-04-16 15:43:28,http://www.ptt.cc/bbs/photo-buy/M.1523864610.A.6A4.html
Minolta a7 dynax7,3000,ptt,FE100STF,2018-04-16 21:47:04,http://www.ptt.cc/bbs/photo-buy/M.1523886426.A.53B.html
Nikon F601,500,ptt,keyno1,2018-04-17 20:51:34,http://www.ptt.cc/bbs/photo-buy/M.1523969497.A.691.html
Konica C35 RF相機,500,ptt,asla1983,2018-04-17 21:19:04,http://www.ptt.cc/bbs/photo-buy/M.1523971148.A.CF3.html
土城 TIARA II,4600,ptt,PENTAXCAT,2018-04-18 09:23:51,http://www.ptt.cc/bbs/photo-buy/M.1524014634.A.284.html
土城 RICOH GR1S,16000,ptt,PENTAXCAT,2018-04-19 09:28:05,http://www.ptt.cc/bbs/photo-buy/M.1524101287.A.062.html
CONTAX D25/2.8 MMJ,11000,ptt,vario,2018-04-19 16:20:07,http://www.ptt.cc/bbs/photo-buy/M.1524126010.A.C73.html
CONTAX G90,5000,ptt,s70160,2018-04-19 17:26:25,http://www.ptt.cc/bbs/photo-buy/M.1524129988.A.003.html
HAKUBA 燈箱組,2500,ptt,johnny49110,2018-04-20 20:58:16,http://www.ptt.cc/bbs/photo-buy/M.1524229098.A.A13.html
Nikon AI 50mm F3.5 Micro,3500,ptt,chenalex,2018-04-21 07:54:15,http://www.ptt.cc/bbs/photo-buy/M.1524268457.A.FCB.html
PENTAX SUPER TARKUMAR 300mm F4,4500,ptt,chenalex,2018-04-21 07:54:50,http://www.ptt.cc/bbs/photo-buy/M.1524268492.A.A81.html
"土城OLYMPUS PEN EE2&3 ,KONICA C35",1500,ptt,PENTAXCAT,2018-04-21 15:14:35,http://www.ptt.cc/bbs/photo-buy/M.1524294878.A.996.html
土城 RICOH GR1黑,10000,ptt,PENTAXCAT,2018-04-22 01:59:01,http://www.ptt.cc/bbs/photo-buy/M.1524333543.A.C0E.html
