AIS 50/1.2 SB-28*2,4500,ptt,ginnietulip,2017-11-24 17:57:10,http://www.ptt.cc/bbs/photo-buy/M.1511517433.A.0EF.html
Contax T3 黑色,38000,ptt,victor781227,2017-11-24 19:13:53,http://www.ptt.cc/bbs/photo-buy/M.1511522035.A.F1F.html
Meyer 100 f2.8 & Meyer 58 f1.9,100,ptt,LoveEase,2017-11-26 15:26:24,http://www.ptt.cc/bbs/photo-buy/M.1511681186.A.DCC.html
Schneider Kreuznach Xenar 50/2.8 DKL,0,ptt,ca1123,2017-11-26 15:26:45,http://www.ptt.cc/bbs/photo-buy/M.1511681208.A.FF5.html
Panasonic 2CR5,100,ptt,tai0402,2017-11-26 18:26:48,http://www.ptt.cc/bbs/photo-buy/M.1511692010.A.954.html
Pentax PC35AF-M,1800,ptt,marler,2017-11-26 18:54:09,http://www.ptt.cc/bbs/photo-buy/M.1511693651.A.111.html
Nikon FM2 還有nikkon 28mm f2.8,6500,ptt,qetuo36785,2017-11-27 12:18:02,http://www.ptt.cc/bbs/photo-buy/M.1511756285.A.8F5.html
Plustek OpticFilm7600i AI 底掃,7600,ptt,juliushan,2017-11-27 19:05:17,http://www.ptt.cc/bbs/photo-buy/M.1511780719.A.95C.html
現場監督28WB eco,300,ptt,jack87,2017-11-28 00:53:29,http://www.ptt.cc/bbs/photo-buy/M.1511801611.A.B79.html
Zeiss Ikon Contarex I,9800,ptt,chang912137,2017-11-28 23:41:33,http://www.ptt.cc/bbs/photo-buy/M.1511883696.A.1D5.html
Mamiya rz67 機身+鏡頭+片夾,10000,ptt,phanck,2017-11-29 23:28:52,http://www.ptt.cc/bbs/photo-buy/M.1511969334.A.610.html
Nikon nikkor N.C 28mm f2.0,4500,ptt,aayuan,2017-11-29 23:36:29,http://www.ptt.cc/bbs/photo-buy/M.1511969791.A.176.html
