Carl Zeiss Jena 135/3.5f czj,4500,ptt,E0Four,2017-06-28 21:10:40,http://www.ptt.cc/bbs/photo-buy/M.1498655443.A.410.html
富士Klasse S底片機,18000,ptt,phyllis0711,2017-06-28 23:47:49,http://www.ptt.cc/bbs/photo-buy/M.1498664872.A.DE0.html
minolta xgm,500,ptt,oooan,2017-06-29 00:53:55,http://www.ptt.cc/bbs/photo-buy/M.1498668838.A.DC0.html
Nikon 50mm f/1.8(DF version),4500,ptt,x810610,2017-06-29 08:38:53,http://www.ptt.cc/bbs/photo-buy/M.1498696736.A.CB1.html
新北 Leica M Summicron 50/2DR,25000,ptt,benny0725,2017-06-29 16:58:02,http://www.ptt.cc/bbs/photo-buy/M.1498726685.A.F7E.html
Nikon SB-50DX 閃燈（降價）,1800,ptt,davidchiu,2017-06-29 17:46:04,http://www.ptt.cc/bbs/photo-buy/M.1498729566.A.993.html
klasse S,12000,ptt,jfyaster,2017-06-30 16:08:40,http://www.ptt.cc/bbs/photo-buy/M.1498810123.A.2FF.html
Polaroid sx70 model2,3500,ptt,KURAKIZERO,2017-07-01 00:16:31,http://www.ptt.cc/bbs/photo-buy/M.1498839393.A.976.html
nikon 35mm f2 ai,4500,ptt,rockmanzx88,2017-07-01 18:12:56,http://www.ptt.cc/bbs/photo-buy/M.1498903978.A.857.html
Unicode H1N1F1 大全配 日耳曼灰,4800,ptt,thestorax,2017-07-01 18:37:05,http://www.ptt.cc/bbs/photo-buy/M.1498905428.A.73C.html
plustek opticfilm 120底掃,28000,ptt,Greatest,2017-07-02 02:07:56,http://www.ptt.cc/bbs/photo-buy/M.1498932484.A.6B6.html
Konica Hexar AF 銀色 降價,0,ptt,eric123415,2017-07-02 04:16:28,http://www.ptt.cc/bbs/photo-buy/M.1498940192.A.AF2.html
Leica M 50mm 2.0,34000,ptt,hodgkinson,2017-07-02 14:27:28,http://www.ptt.cc/bbs/photo-buy/M.1498976851.A.566.html
"CV20,CZ50.7,MIR-10A",7000,ptt,jeffrey2002,2017-07-02 15:34:04,http://www.ptt.cc/bbs/photo-buy/M.1498980846.A.C93.html
Minolta系統出清,7000,ptt,JSFS,2017-07-02 23:41:32,http://www.ptt.cc/bbs/photo-buy/M.1499010095.A.673.html
滑軌+雲台,0,ptt,anper,2017-07-03 21:32:27,http://www.ptt.cc/bbs/photo-buy/M.1499088752.A.816.html
土城 pentax LX & ME 手動機身,4000,ptt,PENTAXCAT,2017-07-04 12:04:47,http://www.ptt.cc/bbs/photo-buy/M.1499141090.A.EB4.html
