Contax T2,16000,ptt,Ritual,2018-04-01 23:13:41,http://www.ptt.cc/bbs/photo-buy/M.1522595624.A.91C.html
Nikon AI 50mm F3.5 Micro,4000,ptt,chenalex,2018-04-03 07:52:06,http://www.ptt.cc/bbs/photo-buy/M.1522713129.A.047.html
PENTAX SUPER TARKUMAR 300mm F4,6000,ptt,chenalex,2018-04-03 07:55:17,http://www.ptt.cc/bbs/photo-buy/M.1522713320.A.95A.html
Sigma 15-30 for Canon,4500,ptt,shawn7220,2018-04-03 11:48:48,http://www.ptt.cc/bbs/photo-buy/M.1522727330.A.0CA.html
sunny16 柯達電影底片,400,ptt,stillness17,2018-04-03 22:53:08,http://www.ptt.cc/bbs/photo-buy/M.1522767190.A.F05.html
Lomography Smartphone Scanner,1200,ptt,stillness17,2018-04-03 23:05:57,http://www.ptt.cc/bbs/photo-buy/M.1522767961.A.ECC.html
Angenieux 45-90mm f2.8 NIKON接環,30000,ptt,angenieux,2018-04-04 00:14:48,http://www.ptt.cc/bbs/photo-buy/M.1522772090.A.949.html
Hasselblad Xpan + 45mm f/4,0,ptt,wale1128,2018-04-04 14:55:38,http://www.ptt.cc/bbs/photo-buy/M.1522824942.A.3A1.html
Nikon F100 兔牙含MB-15 & Nikon 28-80mm,100,ptt,ShiangMing,2018-04-04 15:15:22,http://www.ptt.cc/bbs/photo-buy/M.1522826124.A.C0C.html
土城 OLYMPUS PEN EE2 & EE3,1500,ptt,PENTAXCAT,2018-04-04 16:06:32,http://www.ptt.cc/bbs/photo-buy/M.1522829194.A.431.html
LOMO INSTANT 黑色拍立得(售出),2000,ptt,mvzi,2018-04-05 10:06:09,http://www.ptt.cc/bbs/photo-buy/M.1522893972.A.808.html
