"Contax G1小全套(G28,G45,G90)",29800,ptt,HuangYao,2018-06-03 23:00:29,http://www.ptt.cc/bbs/photo-buy/M.1528038038.A.39F.html
Nikon 鏡頭 24mm 28mm 50mm 55mm Micro 105mm 2X,5500,ptt,Can19860111,2018-06-04 17:42:05,http://www.ptt.cc/bbs/photo-buy/M.1528105327.A.53F.html
Nikon F80s,800,ptt,intjohn,2018-06-04 23:03:53,http://www.ptt.cc/bbs/photo-buy/M.1528124635.A.E0E.html
Canon QL-17 二代,3000,ptt,fatguy5566,2018-06-05 00:39:43,http://www.ptt.cc/bbs/photo-buy/M.1528130386.A.FB8.html
器材出清 也可交換Contax G鏡,7000,ptt,DAAD,2018-06-05 12:15:46,http://www.ptt.cc/bbs/photo-buy/M.1528172148.A.2EA.html
LOMO LC-A 小人頭版,200,ptt,PENTAXCAT,2018-06-05 23:12:27,http://www.ptt.cc/bbs/photo-buy/M.1528211550.A.FA5.html
Carl Zeiss Planar T* 50/1.4 MMJ,7500,ptt,ppcayapple,2018-06-06 08:21:03,http://www.ptt.cc/bbs/photo-buy/M.1528244466.A.250.html
Contax 28mm/2.8,7000,ptt,ya850806,2018-06-06 11:19:00,http://www.ptt.cc/bbs/photo-buy/M.1528255143.A.1ED.html
Nikon 35Ti 盒裝,14000,ptt,stevenmann,2018-06-06 14:46:02,http://www.ptt.cc/bbs/photo-buy/M.1528267565.A.F08.html
Canon EF 28-70mm F2.8L USM,12000,ptt,planty139,2018-06-08 02:11:15,http://www.ptt.cc/bbs/photo-buy/M.1528395078.A.6E9.html
Plaubel Makina 67,48000,ptt,andrew76,2018-06-08 15:35:54,http://www.ptt.cc/bbs/photo-buy/M.1528443359.A.4A5.html
Contax G28/2.8 (黑鏡),9000,ptt,s70160,2018-06-09 09:11:21,http://www.ptt.cc/bbs/photo-buy/M.1528506683.A.D0B.html
Voigtlander 21mm F4 VM,9000,ptt,takeda3234,2018-06-09 23:17:26,http://www.ptt.cc/bbs/photo-buy/M.1528557450.A.68C.html
Olympus OM1+50/f1.4,4500,ptt,sfyee1,2018-06-11 18:29:12,http://www.ptt.cc/bbs/photo-buy/M.1528712955.A.6FD.html
Fuji GS646w,7500,ptt,stevenmann,2018-06-12 17:09:23,http://www.ptt.cc/bbs/photo-buy/M.1528794565.A.673.html
Minolta Autocord 套組,11500,ptt,johnny49110,2018-06-12 22:42:15,http://www.ptt.cc/bbs/photo-buy/M.1528814538.A.5D7.html
olympus lt-1 皮革定焦隨身機,3000,ptt,pin731104,2018-06-12 23:18:16,http://www.ptt.cc/bbs/photo-buy/M.1528816700.A.E75.html
