M42 鏡及CONTAX G90,2000,ptt,tedshell,2018-06-21 11:22:58,http://www.ptt.cc/bbs/photo-buy/M.1529551381.A.3E1.html
Hexar AF silver,18500,ptt,stevenmann,2018-06-22 15:02:16,http://www.ptt.cc/bbs/photo-buy/M.1529650939.A.C33.html
Voigtlander 58mm F1.4 SLII(AIS),10000,ptt,jlyu,2018-06-22 21:18:42,http://www.ptt.cc/bbs/photo-buy/M.1529673525.A.F5A.html
Mamiya C220 80/2.8藍鈕版,8000,ptt,jirohsu,2018-06-23 23:38:23,http://www.ptt.cc/bbs/photo-buy/M.1529768308.A.23F.html
半格機 AUTO HALF SE & AUTO EYE2,2000,ptt,PENTAXCAT,2018-06-24 21:23:04,http://www.ptt.cc/bbs/photo-buy/M.1529846586.A.73F.html
Pentacon 29 F2.8（M42）,2000,ptt,joseph335,2018-06-25 10:18:18,http://www.ptt.cc/bbs/photo-buy/M.1529893102.A.EE1.html
Fujifilm GA645,13500,ptt,stevenmann,2018-06-25 16:29:38,http://www.ptt.cc/bbs/photo-buy/M.1529915381.A.9DD.html
Pentacon 135mm F2.8 M42接環,1500,ptt,eagle0505,2018-06-26 14:14:38,http://www.ptt.cc/bbs/photo-buy/M.1529993680.A.4AC.html
Canon EF 100-400mm f4.5-5.6L IS,25000,ptt,mole1224,2018-06-26 14:16:53,http://www.ptt.cc/bbs/photo-buy/M.1529993815.A.38E.html
NIKON AF 35-70mm F/2.8D Macro,6000,ptt,shepherd71,2018-06-26 15:09:15,http://www.ptt.cc/bbs/photo-buy/M.1529996957.A.4A2.html
Spiratone 300/5.6 反射鏡,300,ptt,peugeotsport,2018-06-26 15:25:49,http://www.ptt.cc/bbs/photo-buy/M.1529997952.A.CB7.html
Nikon ais 24mm f2.8,6000,ptt,peugeotsport,2018-06-26 15:31:39,http://www.ptt.cc/bbs/photo-buy/M.1529998302.A.CF4.html
Nikon 20mm F2.8D,8000,ptt,eagle0505,2018-06-27 01:16:35,http://www.ptt.cc/bbs/photo-buy/M.1530033398.A.A1C.html
售 nikon FA,3100,ptt,eric73207,2018-06-28 16:37:02,http://www.ptt.cc/bbs/photo-buy/M.1530175024.A.242.html
土城 RICOH R1S & GR1,2000,ptt,PENTAXCAT,2018-06-28 21:50:28,http://www.ptt.cc/bbs/photo-buy/M.1530193831.A.6FD.html
