Fujifilm GA645及Pentax 645N組,12000,ptt,blacklu,2018-01-13 01:15:36,http://www.ptt.cc/bbs/photo-buy/M.1515777340.A.603.html
Nikon AI-S 85mm f1.4,14000,ptt,blacklu,2018-01-13 01:28:18,http://www.ptt.cc/bbs/photo-buy/M.1515778101.A.4E3.html
Carl Zeiss Jena 35/2.4(M42),7500,ptt,hey1590,2018-01-13 18:24:03,http://www.ptt.cc/bbs/photo-buy/M.1515839047.A.2F6.html
Hasselblad CF鏡頭,17000,ptt,blacklu,2018-01-13 19:06:28,http://www.ptt.cc/bbs/photo-buy/M.1515841591.A.433.html
零件機Konicalll,800,ptt,xamxammi,2018-01-13 22:43:44,http://www.ptt.cc/bbs/photo-buy/M.1515854626.A.103.html
Ricoh FF-1 好捨不得賣啊啊啊,3000,ptt,qetuo36785,2018-01-14 08:27:31,http://www.ptt.cc/bbs/photo-buy/M.1515889654.A.1F7.html
Polaroid Originals Onestep2,5000,ptt,colate,2018-01-14 13:32:39,http://www.ptt.cc/bbs/photo-buy/M.1515907962.A.673.html
Lomo Lca+ 小人頭版,500,ptt,Rosso,2018-01-14 14:13:46,http://www.ptt.cc/bbs/photo-buy/M.1515910429.A.1C7.html
fujifilm mini90二手拍立得,4000,ptt,wr4118rw,2018-01-14 21:17:56,http://www.ptt.cc/bbs/photo-buy/M.1515935878.A.1CE.html
Contax G1 +G28+G35+G45,36000,ptt,ghostdeityj,2018-01-14 23:08:35,http://www.ptt.cc/bbs/photo-buy/M.1515942518.A.FB8.html
"CV20,ZP50.7,MIR-10A",7000,ptt,jeffrey2002,2018-01-16 11:08:54,http://www.ptt.cc/bbs/photo-buy/M.1516072136.A.109.html
