Meyer 58 1.9 V + Exakta V 機身,14500,ptt,LoveEase,2017-07-06 00:05:38,http://www.ptt.cc/bbs/photo-buy/M.1499270741.A.E06.html
台北 Nikon Nikkor 85mm 1.8D,8000,ptt,CaRaMac,2017-07-06 08:49:18,http://www.ptt.cc/bbs/photo-buy/M.1499302161.A.F6A.html
新北-Leica M Summicron 50/2 DR,24000,ptt,benny0725,2017-07-06 16:08:35,http://www.ptt.cc/bbs/photo-buy/M.1499328517.A.A64.html
Olympus MJU II Zoom 80,2600,ptt,udamiya,2017-07-06 18:29:22,http://www.ptt.cc/bbs/photo-buy/M.1499336965.A.C2B.html
nikon 20-35 2.8D 鑽石廣角 盒裝,25300,ptt,planar0202,2017-07-07 23:28:45,http://www.ptt.cc/bbs/photo-buy/M.1499441328.A.AA2.html
Nikon FM2 蜂巢式快門簾 黑機,5500,ptt,tsaiid,2017-07-08 23:16:30,http://www.ptt.cc/bbs/photo-buy/M.1499526994.A.E1B.html
KONICA T3,5500,ptt,KURAKIZERO,2017-07-09 01:29:10,http://www.ptt.cc/bbs/photo-buy/M.1499534953.A.C7E.html
KATA PR-440 相機包,3500,ptt,christjwl,2017-07-09 01:37:53,http://www.ptt.cc/bbs/photo-buy/M.1499535480.A.42F.html
Minolta XD-11 黑機,3500,ptt,thestorax,2017-07-10 09:39:03,http://www.ptt.cc/bbs/photo-buy/M.1499650746.A.E30.html
