Nikon 35-70 F3.5 Ai,3500,ptt,gogogo4646,2018-04-22 14:00:38,http://www.ptt.cc/bbs/photo-buy/M.1524376840.A.63C.html
Leica Summicron 40mm F2,16000,ptt,CorDura,2018-04-22 19:21:49,http://www.ptt.cc/bbs/photo-buy/M.1524396111.A.0A5.html
CONTAX G2&G28黑鏡,16000,ptt,s70160,2018-04-22 20:32:22,http://www.ptt.cc/bbs/photo-buy/M.1524400344.A.06B.html
Fujifilm instax mini 90 黑,3200,ptt,wahnchu,2018-04-22 23:04:49,http://www.ptt.cc/bbs/photo-buy/M.1524409492.A.B71.html
,6500,ptt,thetenant,2018-04-23 12:15:00,http://www.ptt.cc/bbs/photo-buy/M.1524456903.A.506.html
理光傻瓜相機,1000,ptt,t7s3,2018-04-24 10:46:12,http://www.ptt.cc/bbs/photo-buy/M.1524537975.A.ADD.html
,4000,ptt,trainee,2018-04-24 17:18:43,http://www.ptt.cc/bbs/photo-buy/M.1524561526.A.5F4.html
NIKON AIS 50/1.2,6500,ptt,endroune,2018-04-24 20:56:25,http://www.ptt.cc/bbs/photo-buy/M.1524574588.A.C24.html
ausJENA 135/4  for Nikon,3000,ptt,endroune,2018-04-24 21:15:59,http://www.ptt.cc/bbs/photo-buy/M.1524575762.A.CA9.html
CZJ Flektogon 20/f4 (M42),8000,ptt,awaysu,2018-04-25 00:23:32,http://www.ptt.cc/bbs/photo-buy/M.1524587015.A.86D.html
白妖鏡 Meyer 100/2.8 (M42),100,ptt,awaysu,2018-04-25 00:27:58,http://www.ptt.cc/bbs/photo-buy/M.1524587281.A.EBC.html
NIKON AF NIKKOR 35-105mm F3.5,2600,ptt,pairhaty,2018-04-25 01:39:59,http://www.ptt.cc/bbs/photo-buy/M.1524591602.A.0CC.html
jupiter-3 L39 紅n 50mm 1.5,3000,ptt,sohaha,2018-04-25 14:52:08,http://www.ptt.cc/bbs/photo-buy/M.1524639135.A.A2E.html
新北市 Nikon F4,3500,ptt,vincentkkm,2018-04-25 14:52:33,http://www.ptt.cc/bbs/photo-buy/M.1524639155.A.332.html
