俄國 vega-3 50mm F2.8 DKL 接環,2800,ptt,comefu,2017-06-07 10:40:45,http://www.ptt.cc/bbs/photo-buy/M.1496803248.A.15C.html
CANON EOS 1VHS 附短手把,18000,ptt,etgees,2017-06-07 12:17:37,http://www.ptt.cc/bbs/photo-buy/M.1496809064.A.1F4.html
"CV20,CZ50.7,MIR-10A",7000,ptt,jeffrey2002,2017-06-07 20:10:39,http://www.ptt.cc/bbs/photo-buy/M.1496837441.A.F04.html
kodak portra 400 120負片,400,ptt,ssala,2017-06-08 09:13:29,http://www.ptt.cc/bbs/photo-buy/M.1496884412.A.A50.html
Minolta program 2800閃光燈,2800,ptt,oooan,2017-06-08 11:31:35,http://www.ptt.cc/bbs/photo-buy/M.1496892699.A.1C1.html
Voigtlander Nokton 50/1.5 L39,12000,ptt,gji40725,2017-06-08 23:10:23,http://www.ptt.cc/bbs/photo-buy/M.1496934630.A.55F.html
Nikon 20-35 F2.8D 鑽石廣角 盒裝,25300,ptt,planar0202,2017-06-09 18:37:37,http://www.ptt.cc/bbs/photo-buy/M.1497004659.A.FD3.html
CanonAV-1+50mm f1.4+70-210mm F4,5000,ptt,lovefish0304,2017-06-09 22:26:47,http://www.ptt.cc/bbs/photo-buy/M.1497018410.A.0A5.html
Rollei 35 德製銀機,7000,ptt,Osben,2017-06-09 23:47:23,http://www.ptt.cc/bbs/photo-buy/M.1497023245.A.F94.html
steinheil 85/2.8 L39,5000,ptt,monmonkey,2017-06-10 08:42:05,http://www.ptt.cc/bbs/photo-buy/M.1497055327.A.08C.html
minolta a7000+28-85,7000,ptt,monmonkey,2017-06-10 08:49:42,http://www.ptt.cc/bbs/photo-buy/M.1497055785.A.25B.html
Leitz Wetzlar Summicron 50mm F2 Rigid,25500,ptt,orzman17,2017-06-11 20:31:24,http://www.ptt.cc/bbs/photo-buy/M.1497184287.A.B43.html
